Data Set,Model,Features Method,F1-score,AUC ROC,C,max_iter,solver
2,LogisticRegression,NMF 200,0.8448275862068965,0.5040345547750142,100.0,100,lbfgs
0,LogisticRegression,NMF 200,0.7980997624703088,0.5895095289875808,100.0,100,liblinear
1,LogisticRegression,NMF 200,0.8061002178649237,0.49731182795698925,100.0,100,liblinear
2,LogisticRegression,NMF 200,0.8484848484848485,0.5257736852097968,100.0,100,liblinear
0,LogisticRegression,NMF 200,0.7980997624703088,0.5895095289875808,100.0,150,newton-cg
1,LogisticRegression,NMF 200,0.8061002178649237,0.49731182795698925,100.0,150,newton-cg
2,LogisticRegression,NMF 200,0.8448275862068965,0.5040345547750142,100.0,150,newton-cg
0,LogisticRegression,NMF 200,0.7980997624703088,0.5895095289875808,100.0,150,lbfgs
1,LogisticRegression,NMF 200,0.8061002178649237,0.49731182795698925,100.0,150,lbfgs
2,LogisticRegression,NMF 200,0.8448275862068965,0.5040345547750142,100.0,150,lbfgs
0,LogisticRegression,NMF 200,0.7980997624703088,0.5895095289875808,100.0,150,liblinear
1,LogisticRegression,NMF 200,0.8061002178649237,0.49731182795698925,100.0,150,liblinear
2,LogisticRegression,NMF 200,0.8484848484848485,0.5257736852097968,100.0,150,liblinear
0,LogisticRegression,NMF 200,0.7788461538461537,0.5672179934756482,1000.0,100,newton-cg
1,LogisticRegression,NMF 200,0.794701986754967,0.4895527859237537,1000.0,100,newton-cg
2,LogisticRegression,NMF 200,0.8089887640449438,0.5017087526105942,1000.0,100,newton-cg
0,LogisticRegression,NMF 200,0.7807228915662651,0.572168488525153,1000.0,100,lbfgs
1,LogisticRegression,NMF 200,0.794701986754967,0.4895527859237537,1000.0,100,lbfgs
2,LogisticRegression,NMF 200,0.8195991091314031,0.5104423770647427,1000.0,100,lbfgs
0,LogisticRegression,NMF 200,0.7807228915662651,0.572168488525153,1000.0,100,liblinear
1,LogisticRegression,NMF 200,0.794701986754967,0.4895527859237537,1000.0,100,liblinear
2,LogisticRegression,NMF 200,0.8089887640449438,0.5017087526105942,1000.0,100,liblinear
0,LogisticRegression,NMF 200,0.7788461538461537,0.5672179934756482,1000.0,150,newton-cg
1,LogisticRegression,NMF 200,0.794701986754967,0.4895527859237537,1000.0,150,newton-cg
2,LogisticRegression,NMF 200,0.8089887640449438,0.5017087526105942,1000.0,150,newton-cg
0,LogisticRegression,NMF 200,0.7788461538461537,0.5672179934756482,1000.0,150,lbfgs
1,LogisticRegression,NMF 200,0.794701986754967,0.4895527859237537,1000.0,150,lbfgs
2,LogisticRegression,NMF 200,0.8143176733780759,0.5060755648376685,1000.0,150,lbfgs
0,LogisticRegression,NMF 200,0.7807228915662651,0.572168488525153,1000.0,150,liblinear
1,LogisticRegression,NMF 200,0.794701986754967,0.4895527859237537,1000.0,150,liblinear
2,LogisticRegression,NMF 200,0.8089887640449438,0.5017087526105942,1000.0,150,liblinear
