Data Set,Model,Features Method,F1-score,AUC ROC,max_depth,min_samples_leaf,min_samples_split,n_estimators
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,50.0,1,5,10
2,RandomForestClassifier,Unigrams,0.8540772532188841,0.5214543383330169,50.0,1,5,10
0,RandomForestClassifier,Unigrams,0.8548812664907651,0.7503863103073314,50.0,1,5,100
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,50.0,1,5,100
2,RandomForestClassifier,Unigrams,0.8902439024390244,0.4999050692994114,50.0,1,5,100
0,RandomForestClassifier,Unigrams,0.8608923884514434,0.7561666571281407,50.0,1,5,1000
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,50.0,1,5,1000
2,RandomForestClassifier,Unigrams,0.9014084507042254,0.5108220998670969,50.0,1,5,1000
0,RandomForestClassifier,Unigrams,0.8624338624338623,0.7631774738167458,50.0,1,5,2000
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,50.0,1,5,2000
2,RandomForestClassifier,Unigrams,0.9036144578313253,0.5130055059806341,50.0,1,5,2000
0,RandomForestClassifier,Unigrams,0.818181818181818,0.7045727694156698,50.0,3,2,10
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,50.0,3,2,10
2,RandomForestClassifier,Unigrams,0.843010752688172,0.4931649895576229,50.0,3,2,10
0,RandomForestClassifier,Unigrams,0.8594164456233422,0.7602873004063413,50.0,3,2,100
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,50.0,3,2,100
2,RandomForestClassifier,Unigrams,0.8991935483870968,0.50863869375356,50.0,3,2,100
0,RandomForestClassifier,Unigrams,0.8624338624338623,0.7631774738167458,50.0,3,2,1000
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,50.0,3,2,1000
2,RandomForestClassifier,Unigrams,0.9079999999999999,0.5173723182077083,50.0,3,2,1000
0,RandomForestClassifier,Unigrams,0.8647214854111406,0.7681279688662508,50.0,3,2,2000
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,50.0,3,2,2000
2,RandomForestClassifier,Unigrams,0.906187624750499,0.5065027529903171,50.0,3,2,2000
0,RandomForestClassifier,Unigrams,0.8057142857142856,0.7292966290848738,50.0,3,5,10
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,50.0,3,5,10
2,RandomForestClassifier,Unigrams,0.8601694915254238,0.5084488323523827,50.0,3,5,10
0,RandomForestClassifier,Unigrams,0.8594594594594595,0.7714187603731472,50.0,3,5,100
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,50.0,3,5,100
2,RandomForestClassifier,Unigrams,0.906187624750499,0.5065027529903171,50.0,3,5,100
0,RandomForestClassifier,Unigrams,0.8609625668449198,0.7672981170949464,50.0,3,5,1000
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,50.0,3,5,1000
2,RandomForestClassifier,Unigrams,0.9083665338645419,0.5086861591038542,50.0,3,5,1000
0,RandomForestClassifier,Unigrams,0.8640000000000001,0.7701882905053512,50.0,3,5,2000
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,50.0,3,5,2000
2,RandomForestClassifier,Unigrams,0.9083665338645419,0.5086861591038542,50.0,3,5,2000
0,RandomForestClassifier,Unigrams,0.7924528301886792,0.6723802438047273,,1,2,10
1,RandomForestClassifier,Unigrams,0.808695652173913,0.5,,1,2,10
