model,n_features,accuracy
rf_unigrams_model,16420,0.5866666666666667
rf_nmf_50_model,16470,0.6622222222222223
rf_nmf_100_model,16520,0.6577777777777778
rf_nmf_200_model,16620,0.6577777777777778
rf_ensemble_model,16770,0.6622222222222223
