Data Set,Model,Features Method,F1-score,AUC ROC,C,loss,max_iter,multi_class
2,LinearSVC,NMF 50,0.891170431211499,0.5281469527245112,1.0,squared_hinge,1000,ovr
0,LinearSVC,NMF 50,0.7772277227722773,0.5874205917701597,1.0,squared_hinge,1000,crammer_singer
1,LinearSVC,NMF 50,0.808695652173913,0.5,1.0,squared_hinge,1000,crammer_singer
2,LinearSVC,NMF 50,0.9002036659877801,0.5368805771786596,1.0,squared_hinge,1000,crammer_singer
0,LinearSVC,NMF 50,0.7894736842105262,0.580839008756367,1.0,squared_hinge,1500,ovr
1,LinearSVC,NMF 50,0.808695652173913,0.5,1.0,squared_hinge,1500,ovr
2,LinearSVC,NMF 50,0.891170431211499,0.5281469527245112,1.0,squared_hinge,1500,ovr
0,LinearSVC,NMF 50,0.7772277227722773,0.5874205917701597,1.0,squared_hinge,1500,crammer_singer
1,LinearSVC,NMF 50,0.808695652173913,0.5,1.0,squared_hinge,1500,crammer_singer
2,LinearSVC,NMF 50,0.9002036659877801,0.5368805771786596,1.0,squared_hinge,1500,crammer_singer
0,LinearSVC,NMF 50,0.7796610169491526,0.5742288101642534,10.0,hinge,1000,ovr
1,LinearSVC,NMF 50,0.808695652173913,0.5,10.0,hinge,1000,ovr
2,LinearSVC,NMF 50,0.8398268398268398,0.49966774254794,10.0,hinge,1000,ovr
0,LinearSVC,NMF 50,0.7555555555555555,0.5511074228810163,10.0,hinge,1000,crammer_singer
1,LinearSVC,NMF 50,0.808695652173913,0.5,10.0,hinge,1000,crammer_singer
2,LinearSVC,NMF 50,0.8266666666666667,0.5256787545092082,10.0,hinge,1000,crammer_singer
0,LinearSVC,NMF 50,0.7796610169491526,0.5742288101642534,10.0,hinge,1500,ovr
1,LinearSVC,NMF 50,0.808695652173913,0.5,10.0,hinge,1500,ovr
2,LinearSVC,NMF 50,0.8398268398268398,0.49966774254794,10.0,hinge,1500,ovr
0,LinearSVC,NMF 50,0.7555555555555555,0.5511074228810163,10.0,hinge,1500,crammer_singer
1,LinearSVC,NMF 50,0.808695652173913,0.5,10.0,hinge,1500,crammer_singer
2,LinearSVC,NMF 50,0.8266666666666667,0.5256787545092082,10.0,hinge,1500,crammer_singer
0,LinearSVC,NMF 50,0.7826086956521741,0.5771189835746581,10.0,squared_hinge,1000,ovr
1,LinearSVC,NMF 50,0.8034934497816594,0.4946236559139785,10.0,squared_hinge,1000,ovr
2,LinearSVC,NMF 50,0.825892857142857,0.5343649136130625,10.0,squared_hinge,1000,ovr
0,LinearSVC,NMF 50,0.7555555555555555,0.5511074228810163,10.0,squared_hinge,1000,crammer_singer
1,LinearSVC,NMF 50,0.808695652173913,0.5,10.0,squared_hinge,1000,crammer_singer
2,LinearSVC,NMF 50,0.8266666666666667,0.5256787545092082,10.0,squared_hinge,1000,crammer_singer
0,LinearSVC,NMF 50,0.7826086956521741,0.5771189835746581,10.0,squared_hinge,1500,ovr
1,LinearSVC,NMF 50,0.8034934497816594,0.4946236559139785,10.0,squared_hinge,1500,ovr
2,LinearSVC,NMF 50,0.825892857142857,0.5343649136130625,10.0,squared_hinge,1500,ovr
0,LinearSVC,NMF 50,0.7555555555555555,0.5511074228810163,10.0,squared_hinge,1500,crammer_singer
1,LinearSVC,NMF 50,0.808695652173913,0.5,10.0,squared_hinge,1500,crammer_singer
2,LinearSVC,NMF 50,0.8266666666666667,0.5256787545092082,10.0,squared_hinge,1500,crammer_singer
